('FrameLayout', '', '[28,974][1052,1495]', 'false')
('FrameLayout', '', '[70,1016][1010,1453]', 'false')
('FrameLayout', '', '[70,1016][1010,1453]', 'false')
('LinearLayout', '', '[70,1016][1010,1453]', 'false')
('LinearLayout', '', '[70,1016][1010,1141]', 'false')
('LinearLayout', '', '[70,1016][1010,1141]', 'false')
('TextView', '良夜没有响应', '[133,1063][947,1141]', 'false')
('FrameLayout', '', '[70,1141][1010,1453]', 'false')
('FrameLayout', '', '[70,1141][1010,1453]', 'false')
('LinearLayout', '', '[70,1141][1010,1453]', 'false')
('Button', '关闭应用', '[70,1180][1010,1306]', 'true')
('Button', '等待', '[70,1306][1010,1432]', 'true')
