('FrameLayout', '', '[0,0][1080,2400]', 'false')
('LinearLayout', '', '[0,0][1080,2400]', 'false')
('FrameLayout', '', '[0,0][1080,2400]', 'false')
('ComposeView', '', '[0,0][1080,2400]', 'false')
('View', '', '[0,0][1080,2400]', 'false')
('View', '', '[1,144][127,270]', 'true')
('View', '设置', '[32,175][95,238]', 'false')
('Button', '', '[11,154][116,259]', 'false')
('View', '', '[126,143][954,269]', 'true')
('TextView', '升级前配置', '[401,174][615,237]', 'false')
('View', '', '[955,144][1080,270]', 'true')
('View', '菜单', '[986,175][1049,238]', 'false')
('Button', '', '[965,154][1070,259]', 'false')
('ScrollView', '', '[42,321][1038,2295]', 'false')
('View', '', '[42,321][1038,712]', 'false')
('TextView', '00:00', '[394,363][687,502]', 'false')
('View', '', '[367,523][514,670]', 'true')
('View', '终止', '[409,565][472,628]', 'false')
('Button', '', '[367,523][514,670]', 'false')
('View', '', '[567,523][714,670]', 'true')
('View', '暂停', '[609,565][672,628]', 'false')
('CheckBox', '', '[567,523][714,670]', 'false')
('View', '工作中', '[959,353][1006,400]', 'false')
('TextView', '今日 0 分钟', '[42,754][259,817]', 'false')
('View', '', '[42,859][1038,1377]', 'false')
('TextView', '3', '[91,1150][110,1166]', 'false')
('TextView', '5', '[91,1240][110,1282]', 'false')
('View', '', '[127,944][180,1343]', 'false')
('View', '2026-09-21, 10 分钟', '[91,966][217,1024]', 'true')
('View', '2026-09-22, no focus', '[91,1024][217,1150]', 'true')
('TextView', 'Sep', '[127,891][180,933]', 'false')
