clickable 行(候选卡片):y1 y2 高度px 高度dp
   (452, 620, 168, 64.0)
   (652, 820, 168, 64.0)
   (852, 1020, 168, 64.0)
   (1052, 1220, 168, 64.0)
TextView(label, y1, y2, 高度px, 宽px)  64dp = 168px
   ('进行中', 321, 420, 99, 207)
   ('WriteReport', 460, 571, 111, 606)
   ('ReadPaper', 660, 771, 111, 606)
   ('DeepWork', 860, 971, 111, 606)
   ('复盘本周产品迭代需求与设计评', 1060, 1171, 111, 606)
   ('已完成', 1273, 1372, 99, 207)
   ('复盘本周产品迭代需求与设计评', 1404, 1515, 111, 680)
   ('完成于 09-23 05:0', 1515, 1599, 84, 529)
   ('OldTask', 1631, 1742, 111, 284)
   ('完成于 09-21 23:1', 1742, 1826, 84, 529)
   ('任务', 149, 282, 133, 182)
