('FrameLayout', '', '[0,0][1080,2400]', 'false')
('LinearLayout', '', '[0,0][1080,2400]', 'false')
('FrameLayout', '', '[0,0][1080,2400]', 'false')
('ComposeView', '', '[0,0][1080,2400]', 'false')
('View', '', '[0,0][1080,2400]', 'false')
('View', '', '[1,144][127,270]', 'true')
('View', '设置', '[32,175][95,238]', 'false')
('Button', '', '[11,154][116,259]', 'false')
('View', '', '[126,143][954,269]', 'true')
('TextView', '升级前配置', '[401,174][615,237]', 'false')
('View', '', '[955,144][1080,270]', 'true')
('View', '菜单', '[986,175][1049,238]', 'false')
('Button', '', '[965,154][1070,259]', 'false')
('View', '', '[0,282][1080,419]', 'true')
('TextView', '任务', '[53,319][980,382]', 'false')
('View', '', '[0,422][1080,559]', 'true')
('TextView', '周报', '[53,459][1027,522]', 'false')
('View', '', '[0,562][1080,699]', 'true')
('TextView', '月报', '[53,599][1027,662]', 'false')
('View', '', '[0,702][1080,839]', 'true')
('TextView', '总报', '[53,739][1027,802]', 'false')
('ScrollView', '', '[42,884][1038,2295]', 'false')
('View', '', '[42,884][1038,1275]', 'false')
('TextView', '00:00', '[394,926][687,1065]', 'false')
('View', '', '[367,1086][514,1233]', 'true')
('View', '终止', '[409,1128][472,1191]', 'false')
('Button', '', '[367,1086][514,1233]', 'false')
('View', '', '[567,1086][714,1233]', 'true')
('View', '暂停', '[609,1128][672,1191]', 'false')
('CheckBox', '', '[567,1086][714,1233]', 'false')
('View', '工作中', '[959,916][1006,963]', 'false')
('TextView', '今日 0 分钟', '[42,1317][259,1380]', 'false')
('View', '', '[42,1422][1038,1940]', 'false')
('TextView', '3', '[91,1713][110,1729]', 'false')
('TextView', '5', '[91,1803][110,1845]', 'false')
('View', '', '[127,1507][180,1906]', 'false')
('View', '2026-09-21, 10 分钟', '[91,1529][217,1587]', 'true')
('View', '2026-09-22, no focus', '[91,1587][217,1713]', 'true')
('TextView', 'Sep', '[127,1454][180,1496]', 'false')
