('FrameLayout', '', '[0,0][1080,2400]', 'false')
('LinearLayout', '', '[0,0][1080,2400]', 'false')
('FrameLayout', '', '[0,0][1080,2400]', 'false')
('ComposeView', '', '[0,0][1080,2400]', 'false')
('View', '', '[0,0][1080,2400]', 'false')
('View', '', '[0,0][1080,2400]', 'false')
('View', '', '[42,300][1038,2337]', 'false')
('TextView', '进行中', '[42,321][152,374]', 'false')
('View', '', '[42,406][1038,574]', 'true')
('View', '长按拖动排序', '[74,443][127,496]', 'false')
('CheckBox', '', '[149,407][275,533]', 'true')
('TextView', 'WriteReport', '[274,438][880,501]', 'false')
('View', '', '[881,407][1007,533]', 'true')
('View', '删除任务', '[917,443][970,496]', 'false')
('Button', '', '[891,417][996,522]', 'false')
('View', '', '[42,606][1038,774]', 'true')
('View', '长按拖动排序', '[74,643][127,696]', 'false')
('CheckBox', '', '[149,607][275,733]', 'true')
('TextView', 'ReadPaper', '[274,638][880,701]', 'false')
('View', '', '[881,607][1007,733]', 'true')
('View', '删除任务', '[917,643][970,696]', 'false')
('Button', '', '[891,617][996,722]', 'false')
('View', '', '[42,806][1038,974]', 'true')
('View', '长按拖动排序', '[74,843][127,896]', 'false')
('CheckBox', '', '[149,807][275,933]', 'true')
('TextView', 'DeepWork', '[274,838][880,901]', 'false')
('View', '', '[881,807][1007,933]', 'true')
('View', '删除任务', '[917,843][970,896]', 'false')
('Button', '', '[891,817][996,922]', 'false')
('View', '', '[42,1006][1038,1174]', 'true')
('View', '长按拖动排序', '[74,1043][127,1096]', 'false')
('CheckBox', '', '[149,1007][275,1133]', 'true')
('TextView', '复盘本周产品迭代需求与设计评审并同步上下游排期计划复盘本周产品迭代需求与设计评审并同步上下游排期计划复盘本周产品迭代需求与设计评审并同步上下游排期计划', '[274,1038][880,1101]', 'false')
('View', '', '[881,1007][1007,1133]', 'true')
('View', '删除任务', '[917,1043][970,1096]', 'false')
('Button', '', '[891,1017][996,1122]', 'false')
('TextView', '已完成', '[42,1227][152,1280]', 'false')
('View', '', '[42,1312][1038,1480]', 'false')
('CheckBox', '', '[75,1313][201,1439]', 'true')
('TextView', '复盘本周产品迭代需求与设计评审并同步上下游排期计划复盘本周产品迭代需求与设计评审并同步上下游排期计划复盘本周产品迭代需求与设计评审并同步上下游排期计划', '[200,1323][880,1386]', 'false')
('TextView', '完成于 09-23 05:00', '[200,1386][464,1428]', 'false')
('View', '', '[881,1313][1007,1439]', 'true')
('View', '删除任务', '[917,1349][970,1402]', 'false')
('Button', '', '[891,1323][996,1428]', 'false')
('View', '', '[42,1512][1038,1680]', 'false')
('CheckBox', '', '[75,1513][201,1639]', 'true')
('TextView', 'OldTask', '[200,1523][362,1586]', 'false')
('TextView', '完成于 09-21 23:13', '[200,1586][464,1628]', 'false')
('View', '', '[881,1513][1007,1639]', 'true')
('View', '删除任务', '[917,1549][970,1602]', 'false')
('Button', '', '[891,1523][996,1628]', 'false')
('View', '', '[0,0][1080,300]', 'false')
('View', '', '[12,154][138,280]', 'true')
('View', '返回', '[43,185][106,248]', 'false')
('Button', '', '[22,164][127,269]', 'false')
('TextView', '任务', '[148,175][262,257]', 'false')
('View', '', '[944,154][1070,280]', 'true')
('View', '新建任务', '[975,185][1038,248]', 'false')
('Button', '', '[954,164][1059,269]', 'false')
